camera,side,time_s,BFI,BVI
0,left,0.0,5.19105,7.53699
0,left,0.025,4.66971,7.65295
0,left,0.05,4.91555,7.80574
0,left,0.075,5.54551,7.95975
0,left,0.1,5.61289,7.97479
0,left,0.125,6.14868,7.89098
0,left,0.15,5.97356,8.08094
0,left,0.175,6.03968,7.99292
0,left,0.2,5.84495,8.10209
0,left,0.225,5.54548,7.98104
0,left,0.25,5.41264,7.88632
0,left,0.275,5.37061,7.96026
0,left,0.3,5.46231,7.75925
0,left,0.325,4.74492,7.67695
0,left,0.35,4.97115,7.68978
0,left,0.375,5.36986,7.5387
0,left,0.4,5.05589,7.43771
0,left,0.425,5.05479,7.36699
0,left,0.45,4.85463,7.28488
0,left,0.475,4.51867,7.28484
0,left,0.5,4.73575,7.21791
0,left,0.525,4.74191,7.31205
0,left,0.55,4.98996,7.47948
0,left,0.575,4.83267,7.40916
0,left,0.6,4.92083,7.10858
0,left,0.625,4.75792,7.48084
0,left,0.65,5.10086,7.39753
0,left,0.675,4.80025,7.31794
0,left,0.7,4.6682,7.68226
0,left,0.725,5.02016,7.73461
0,left,0.75,5.23136,7.71026
0,left,0.775,5.72246,7.66393
0,left,0.8,5.71265,7.84954
0,left,0.825,5.92124,8.07298
0,left,0.85,6.07506,8.03881
0,left,0.875,6.04948,8.1025
0,left,0.9,5.81532,7.93925
0,left,0.925,5.5303,8.05527
0,left,0.95,5.45146,7.96921
0,left,0.975,5.09653,7.79618
0,left,1.0,5.43033,7.7464
0,left,1.025,5.60254,7.65991
0,left,1.05,5.08547,7.71446
0,left,1.075,5.19419,7.66128
0,left,1.1,5.17773,7.42388
0,left,1.125,4.6395,7.30423
0,left,1.15,5.02002,7.31402
0,left,1.175,5.56243,7.36971
0,left,1.2,4.61504,7.40875
0,left,1.225,4.56703,7.26124
0,left,1.25,4.80544,7.25244
0,left,1.275,4.56575,7.25596
0,left,1.3,4.62084,7.25527
0,left,1.325,4.71266,7.39402
0,left,1.35,4.65789,7.44721
0,left,1.375,4.90527,7.6602
0,left,1.4,4.63581,7.62048
0,left,1.425,4.73416,7.78405
0,left,1.45,4.99268,7.93406
0,left,1.475,5.0162,7.67725
0,left,1.5,5.34374,7.88291
0,left,1.525,6.33399,7.99584
0,left,1.55,5.69888,7.88085
0,left,1.575,6.14979,7.89666
0,left,1.6,6.25001,7.92079
0,left,1.625,6.10755,7.99436
0,left,1.65,5.79285,7.93982
0,left,1.675,5.17649,7.90353
0,left,1.7,5.38609,7.92866
0,left,1.725,5.5137,7.84529
0,left,1.75,5.09768,7.72751
0,left,1.775,4.92157,7.59886
0,left,1.8,4.80442,7.41044
0,left,1.825,5.27176,7.46152
0,left,1.85,4.80995,7.3762
0,left,1.875,4.81209,7.22189
0,left,1.9,4.91702,7.21528
0,left,1.925,4.85257,7.21651
0,left,1.95,5.15773,7.2537
0,left,1.975,4.74748,7.09175
0,left,2.0,4.54301,7.35191
0,left,2.025,5.07417,7.22288
0,left,2.05,5.09204,7.48131
0,left,2.075,4.55378,7.55909
0,left,2.1,4.45311,7.60689
0,left,2.125,4.82576,7.66728
0,left,2.15,5.09709,7.81202
0,left,2.175,4.98956,7.6883
0,left,2.2,5.56326,7.90472
0,left,2.225,5.59391,8.08216
0,left,2.25,6.49072,7.97395
0,left,2.275,6.32049,8.11561
0,left,2.3,6.05286,8.01171
0,left,2.325,5.74394,8.10249
0,left,2.35,5.92699,7.99299
0,left,2.375,5.26473,7.95426
0,left,2.4,5.54704,7.83188
0,left,2.425,5.43466,7.67375
0,left,2.45,5.47233,7.64398
0,left,2.475,4.75933,7.5039
0,left,2.5,5.15692,7.53322
0,left,2.525,5.33665,7.38531
0,left,2.55,5.05287,7.48603
0,left,2.575,4.80478,7.38654
0,left,2.6,5.0123,7.06725
0,left,2.625,4.99604,7.13611
0,left,2.65,4.6862,7.12761
0,left,2.675,4.6492,7.10764
0,left,2.7,4.60047,7.29381
0,left,2.725,4.75059,7.32672
0,left,2.75,4.94909,7.35856
0,left,2.775,4.58905,7.43147
0,left,2.8,4.89141,7.40839
0,left,2.825,4.81786,7.76793
0,left,2.85,5.0009,7.71242
0,left,2.875,5.23076,7.72123
0,left,2.9,5.08602,7.78288
0,left,2.925,5.87814,7.96895
0,left,2.95,6.3494,7.998
0,left,2.975,6.18331,7.82691
0,left,3.0,5.87951,8.00983
0,left,3.025,6.41758,7.94221
0,left,3.05,5.46012,7.99588
0,left,3.075,5.27273,7.86816
0,left,3.1,5.2492,7.74733
0,left,3.125,5.31465,7.86617
0,left,3.15,4.96791,7.70612
0,left,3.175,5.19367,7.71085
0,left,3.2,4.99445,7.34979
0,left,3.225,4.98852,7.4649
0,left,3.25,4.79188,7.21277
0,left,3.275,4.59557,7.36366
0,left,3.3,5.22537,7.04156
0,left,3.325,4.72759,7.18936
0,left,3.35,4.98172,7.20276
0,left,3.375,4.64712,7.1827
0,left,3.4,4.53641,7.35187
0,left,3.425,4.64,7.2821
0,left,3.45,4.70871,7.38963
0,left,3.475,4.87373,7.42579
0,left,3.5,4.9488,7.55796
0,left,3.525,4.53149,7.51209
0,left,3.55,4.64802,7.75164
0,left,3.575,5.2544,7.85722
0,left,3.6,5.15347,7.87346
0,left,3.625,5.14973,7.90574
0,left,3.65,5.8409,7.8819
0,left,3.675,6.14995,8.001
0,left,3.7,5.97963,8.03069
0,left,3.725,6.15419,7.91709
0,left,3.75,5.75854,7.9127
0,left,3.775,5.04092,8.07235
0,left,3.8,5.18248,7.84108
0,left,3.825,4.72464,7.75723
0,left,3.85,5.19137,7.7777
0,left,3.875,4.87984,7.7109
0,left,3.9,5.35929,7.48453
0,left,3.925,4.87431,7.45462
0,left,3.95,5.08345,7.43883
0,left,3.975,5.17472,7.2465
0,left,4.0,5.25885,7.25021
0,left,4.025,4.95172,6.95834
0,left,4.05,4.61645,7.1642
0,left,4.075,4.58722,7.03578
0,left,4.1,4.56597,7.07119
0,left,4.125,4.44997,7.30779
0,left,4.15,4.82648,7.23429
0,left,4.175,4.62803,7.40857
0,left,4.2,4.52665,7.52877
0,left,4.225,4.79751,7.51707
0,left,4.25,3.93129,7.84106
0,left,4.275,4.69197,7.66868
0,left,4.3,4.70941,7.83847
0,left,4.325,5.68124,7.93641
0,left,4.35,5.75348,8.0076
0,left,4.375,5.85666,7.93225
0,left,4.4,6.02377,8.09855
0,left,4.425,6.25743,8.04985
0,left,4.45,5.79005,7.87155
0,left,4.475,5.64988,7.91065
0,left,4.5,5.47879,7.82849
0,left,4.525,5.0983,7.77187
0,left,4.55,5.18499,7.59793
0,left,4.575,5.0294,7.49164
0,left,4.6,5.2637,7.41916
0,left,4.625,4.86964,7.50524
0,left,4.65,4.92667,7.19404
0,left,4.675,5.05283,7.33823
0,left,4.7,4.51482,7.29579
0,left,4.725,4.6121,7.24563
0,left,4.75,4.68741,7.17024
0,left,4.775,4.6236,7.23656
