experiment,side,cam,gain_x,event,death_time_s,scan_end_s,temp_at_death_c,max_temp_c,temp_slope_c_per_min,temp_frozen,laser,notes
E1a_heat20_cold,left,0,16,survived,,1200.3,52.11,52.11,0.009,False,on,
E1a_heat20_cold,left,1,4,survived,,1200.3,65.31,65.31,0.041,False,on,
E1a_heat20_cold,left,2,2,survived,,1200.3,78.83,78.83,0.168,False,on,
E1a_heat20_cold,left,3,1,survived,,1200.3,90.31,90.31,0.102,False,on,
E1a_heat20_cold,left,4,1,survived,,1200.3,91.12,91.2,0.317,False,on,
E1a_heat20_cold,left,5,2,survived,,1200.3,93.6,93.6,0.233,False,on,
E1a_heat20_cold,left,6,4,survived,,1200.3,96.83,96.9,0.195,False,on,
E1a_heat20_cold,left,7,16,survived,,1200.3,70.05,70.12,0.08,False,on,
E1a_heat20_cold,right,0,16,survived,,1200.3,52.96,53.03,-0.133,False,on,
E1a_heat20_cold,right,1,4,survived,,1200.3,63.83,63.9,0.003,False,on,
E1a_heat20_cold,right,2,2,survived,,1200.3,77.04,77.04,0.014,False,on,
E1a_heat20_cold,right,3,1,survived,,1200.3,90.05,90.12,0.031,False,on,
E1a_heat20_cold,right,4,1,survived,,1200.3,84.62,84.62,0.386,False,on,
E1a_heat20_cold,right,5,2,survived,,1200.3,88.56,88.64,0.191,False,on,
E1a_heat20_cold,right,6,4,survived,,1200.3,88.9,88.98,0.322,False,on,
E1a_heat20_cold,right,7,16,survived,,1200.3,68.32,68.32,0.122,False,on,
E1b_heat20_cold_repeat,left,0,16,survived,,1200.4,52.11,52.19,0.178,False,on,
E1b_heat20_cold_repeat,left,1,4,survived,,1200.4,65.39,65.46,0.216,False,on,
E1b_heat20_cold_repeat,left,2,2,survived,,1200.4,78.91,78.98,0.223,False,on,
E1b_heat20_cold_repeat,left,3,1,survived,,1200.4,90.38,90.38,0.069,False,on,
E1b_heat20_cold_repeat,left,4,1,survived,,1200.4,91.28,91.28,0.077,False,on,
E1b_heat20_cold_repeat,left,5,2,survived,,1200.4,93.75,93.75,0.185,False,on,
E1b_heat20_cold_repeat,left,6,4,survived,,1200.4,97.21,97.98,0.293,False,on,
E1b_heat20_cold_repeat,left,7,16,survived,,1200.4,70.28,70.28,0.171,False,on,
E1b_heat20_cold_repeat,right,0,16,survived,,1200.4,53.03,53.11,0.106,False,on,
E1b_heat20_cold_repeat,right,1,4,survived,,1200.4,63.98,63.98,0.082,False,on,
E1b_heat20_cold_repeat,right,2,2,survived,,1200.4,77.27,77.27,0.186,False,on,
E1b_heat20_cold_repeat,right,3,1,survived,,1200.4,90.58,90.58,0.273,False,on,
E1b_heat20_cold_repeat,right,4,1,survived,,1200.4,84.84,84.92,0.252,False,on,
E1b_heat20_cold_repeat,right,5,2,survived,,1200.4,89.02,89.02,0.258,False,on,
E1b_heat20_cold_repeat,right,6,4,survived,,1200.4,89.13,89.2,0.178,False,on,
E1b_heat20_cold_repeat,right,7,16,survived,,1200.4,68.47,68.55,0.239,False,on,
