t_wall_s,elapsed_s,side,cam,temp_c
1783361421.8,80.2,left,imu,33.84
1783361421.8,80.2,left,0,44.02
1783361421.8,80.2,left,1,46.07
1783361421.8,80.2,left,2,48.04
1783361421.8,80.2,left,3,47.93
1783361421.8,80.2,left,4,47.45
1783361421.8,80.2,left,5,47.57
1783361421.8,80.2,left,6,48.11
1783361421.8,80.2,left,7,47.32
1783361421.8,80.2,right,imu,28.48
1783361421.8,80.2,right,0,38.68
1783361421.8,80.2,right,1,41.74
1783361421.8,80.2,right,2,44.39
1783361421.8,80.2,right,3,45.00
1783361421.8,80.2,right,4,43.87
1783361421.8,80.2,right,5,44.04
1783361421.8,80.2,right,6,44.88
1783361421.8,80.2,right,7,43.60
1783361512.0,170.4,left,imu,37.77
1783361512.0,170.4,left,0,55.47
1783361512.0,170.4,left,1,62.90
1783361512.0,170.4,left,2,72.06
1783361512.0,170.4,left,3,72.67
1783361512.0,170.4,left,4,72.67
1783361512.0,170.4,left,5,71.23
1783361512.0,170.4,left,6,70.00
1783361512.0,170.4,left,7,67.35
1783361512.0,170.4,right,imu,31.45
1783361512.0,170.4,right,0,48.14
1783361512.0,170.4,right,1,56.43
1783361512.0,170.4,right,2,67.61
1783361512.0,170.4,right,3,70.03
1783361512.0,170.4,right,4,66.74
1783361512.0,170.4,right,5,67.40
1783361512.0,170.4,right,6,68.01
1783361512.0,170.4,right,7,64.63
