t_wall_s,elapsed_s,side,cam,temp_c
1783361102.7,0.0,left,imu,32.50
1783361102.7,0.0,left,0,-60.71
1783361102.7,0.0,left,1,30.52
1783361102.7,0.0,left,2,30.64
1783361102.7,0.0,left,3,28.25
1783361102.7,0.0,left,4,28.65
1783361102.7,0.0,left,5,45.84
1783361102.7,0.0,left,6,28.41
1783361102.7,0.0,left,7,27.45
1783361102.7,0.0,right,imu,27.37
1783361102.7,0.0,right,0,23.62
1783361102.7,0.0,right,1,24.64
1783361102.7,0.0,right,2,25.61
1783361102.7,0.0,right,3,25.49
1783361102.7,0.0,right,4,25.46
1783361102.7,0.0,right,5,25.27
1783361102.7,0.0,right,6,25.99
1783361102.7,0.0,right,7,25.76
1783361107.7,5.1,left,imu,32.65
1783361107.7,5.1,left,0,-59.42
1783361107.7,5.1,left,1,28.25
1783361107.7,5.1,left,2,25.14
1783361107.7,5.1,left,3,29.98
1783361107.7,5.1,left,4,28.57
1783361107.7,5.1,left,5,30.07
1783361107.7,5.1,left,6,12.65
1783361107.7,5.1,left,7,14.93
1783361107.7,5.1,right,imu,27.57
1783361107.7,5.1,right,0,24.08
1783361107.7,5.1,right,1,24.41
1783361107.7,5.1,right,2,24.93
1783361107.7,5.1,right,3,26.02
1783361107.7,5.1,right,4,25.76
1783361107.7,5.1,right,5,25.27
1783361107.7,5.1,right,6,25.99
1783361107.7,5.1,right,7,20.82
1783361112.8,10.1,left,imu,32.65
1783361112.8,10.1,left,0,27.57
1783361112.8,10.1,left,1,28.10
1783361112.8,10.1,left,2,18.52
1783361112.8,10.1,left,3,26.89
1783361112.8,10.1,left,4,30.31
1783361112.8,10.1,left,5,28.80
1783361112.8,10.1,left,6,6.44
1783361112.8,10.1,left,7,12.88
1783361112.8,10.1,right,imu,27.76
1783361112.8,10.1,right,0,23.70
1783361112.8,10.1,right,1,24.87
1783361112.8,10.1,right,2,25.69
1783361112.8,10.1,right,3,26.02
1783361112.8,10.1,right,4,25.99
1783361112.8,10.1,right,5,16.78
1783361112.8,10.1,right,6,26.29
1783361112.8,10.1,right,7,25.91
1783361117.8,15.2,left,imu,32.79
1783361117.8,15.2,left,0,26.81
1783361117.8,15.2,left,1,8.84
1783361117.8,15.2,left,2,26.57
1783361117.8,15.2,left,3,29.08
1783361117.8,15.2,left,4,29.02
1783361117.8,15.2,left,5,24.29
1783361117.8,15.2,left,6,2.35
1783361117.8,15.2,left,7,27.45
1783361117.8,15.2,right,imu,27.57
1783361117.8,15.2,right,0,23.85
1783361117.8,15.2,right,1,25.02
1783361117.8,15.2,right,2,25.84
1783361117.8,15.2,right,3,31.69
1783361117.8,15.2,right,4,26.21
1783361117.8,15.2,right,5,15.28
1783361117.8,15.2,right,6,23.88
1783361117.8,15.2,right,7,25.38
