t_wall_s,elapsed_s,side,cam,temp_c
1783406343.9,0.0,left,imu,66.34
1783406343.9,0.0,left,0,63.81
1783406343.9,0.0,left,1,71.70
1783406343.9,0.0,left,2,81.32
1783406343.9,0.0,left,3,69.88
1783406343.9,0.0,left,4,68.21
1783406343.9,0.0,left,5,82.27
1783406343.9,0.0,left,6,82.88
1783406343.9,0.0,left,7,77.36
1783406343.9,0.0,right,imu,43.00
1783406343.9,0.0,right,0,35.20
1783406343.9,0.0,right,1,46.13
1783406343.9,0.0,right,2,63.39
1783406343.9,0.0,right,3,72.60
1783406343.9,0.0,right,4,67.20
1783406343.9,0.0,right,5,65.37
1783406343.9,0.0,right,6,63.70
1783406343.9,0.0,right,7,57.95
1783406349.0,5.1,left,imu,65.71
1783406349.0,5.1,left,0,62.60
1783406349.0,5.1,left,1,70.03
1783406349.0,5.1,left,2,78.69
1783406349.0,5.1,left,3,68.97
1783406349.0,5.1,left,4,67.76
1783406349.0,5.1,left,5,79.94
1783406349.0,5.1,left,6,80.30
1783406349.0,5.1,left,7,75.01
1783406349.0,5.1,right,imu,42.47
1783406349.0,5.1,right,0,34.52
1783406349.0,5.1,right,1,44.70
1783406349.0,5.1,right,2,60.90
1783406349.0,5.1,right,3,69.95
1783406349.0,5.1,right,4,64.70
1783406349.0,5.1,right,5,62.67
1783406349.0,5.1,right,6,61.21
1783406349.0,5.1,right,7,55.68
1783406354.0,10.1,left,imu,65.57
1783406354.0,10.1,left,0,62.07
1783406354.0,10.1,left,1,68.51
1783406354.0,10.1,left,2,76.50
1783406354.0,10.1,left,3,68.29
1783406354.0,10.1,left,4,67.31
1783406354.0,10.1,left,5,77.91
1783406354.0,10.1,left,6,78.11
1783406354.0,10.1,left,7,73.27
1783406354.0,10.1,right,imu,42.13
1783406354.0,10.1,right,0,33.91
1783406354.0,10.1,right,1,43.64
1783406354.0,10.1,right,2,58.64
1783406354.0,10.1,right,3,67.38
1783406354.0,10.1,right,4,62.50
1783406354.0,10.1,right,5,60.56
1783406354.0,10.1,right,6,58.87
1783406354.0,10.1,right,7,53.78
1783406359.1,15.2,left,imu,64.85
1783406359.1,15.2,left,0,61.46
1783406359.1,15.2,left,1,67.38
1783406359.1,15.2,left,2,74.85
1783406359.1,15.2,left,3,67.61
1783406359.1,15.2,left,4,66.78
1783406359.1,15.2,left,5,76.26
1783406359.1,15.2,left,6,76.14
1783406359.1,15.2,left,7,71.82
1783406359.1,15.2,right,imu,41.46
1783406359.1,15.2,right,0,33.46
1783406359.1,15.2,right,1,42.65
1783406359.1,15.2,right,2,56.75
1783406359.1,15.2,right,3,65.11
1783406359.1,15.2,right,4,60.53
1783406359.1,15.2,right,5,58.61
1783406359.1,15.2,right,6,56.98
1783406359.1,15.2,right,7,52.11
1783406364.1,20.2,left,imu,64.42
1783406364.1,20.2,left,0,60.93
1783406364.1,20.2,left,1,66.31
1783406364.1,20.2,left,2,73.34
1783406364.1,20.2,left,3,66.79
1783406364.1,20.2,left,4,66.25
1783406364.1,20.2,left,5,74.53
1783406364.1,20.2,left,6,74.32
1783406364.1,20.2,left,7,70.38
1783406364.1,20.2,right,imu,41.46
1783406364.1,20.2,right,0,33.16
1783406364.1,20.2,right,1,41.89
1783406364.1,20.2,right,2,55.10
1783406364.1,20.2,right,3,63.38
1783406364.1,20.2,right,4,58.86
1783406364.1,20.2,right,5,56.96
1783406364.1,20.2,right,6,55.32
