t_wall_s,elapsed_s,side,cam,temp_c
1783367995.9,0.1,left,imu,30.34
1783367995.9,0.1,left,0,22.89
1783367995.9,0.1,left,1,24.25
1783367995.9,0.1,left,2,25.39
1783367995.9,0.1,left,3,26.75
1783367995.9,0.1,left,4,30.53
1783367995.9,0.1,left,5,23.27
1783367995.9,0.1,left,6,60.20
1783367995.9,0.1,left,7,25.24
1783367995.9,0.1,right,imu,30.39
1783367995.9,0.1,right,0,23.18
1783367995.9,0.1,right,1,24.48
1783367995.9,0.1,right,2,62.00
1783367995.9,0.1,right,3,27.77
1783367995.9,0.1,right,4,27.13
1783367995.9,0.1,right,5,36.67
1783367995.9,0.1,right,6,25.14
1783367995.9,0.1,right,7,26.02
1783368000.9,5.1,left,imu,30.58
1783368000.9,5.1,left,0,22.97
1783368000.9,5.1,left,1,24.63
1783368000.9,5.1,left,2,25.55
1783368000.9,5.1,left,3,26.67
1783368000.9,5.1,left,4,30.53
1783368000.9,5.1,left,5,26.03
1783368000.9,5.1,left,6,60.59
1783368000.9,5.1,left,7,25.47
1783368000.9,5.1,right,imu,30.68
1783368000.9,5.1,right,0,22.96
1783368000.9,5.1,right,1,24.25
1783368000.9,5.1,right,2,61.92
1783368000.9,5.1,right,3,31.21
1783368000.9,5.1,right,4,27.13
1783368000.9,5.1,right,5,37.12
1783368000.9,5.1,right,6,29.54
1783368000.9,5.1,right,7,26.17
1783368006.0,10.2,left,imu,30.39
1783368006.0,10.2,left,0,21.51
1783368006.0,10.2,left,1,25.02
1783368006.0,10.2,left,2,25.62
1783368006.0,10.2,left,3,26.67
1783368006.0,10.2,left,4,30.61
1783368006.0,10.2,left,5,28.34
1783368006.0,10.2,left,6,61.04
1783368006.0,10.2,left,7,25.77
1783368006.0,10.2,right,imu,30.73
1783368006.0,10.2,right,0,23.18
1783368006.0,10.2,right,1,24.40
1783368006.0,10.2,right,2,62.00
1783368006.0,10.2,right,3,26.17
1783368006.0,10.2,right,4,27.06
1783368006.0,10.2,right,5,36.97
1783368006.0,10.2,right,6,28.94
1783368006.0,10.2,right,7,26.09
1783368011.1,15.3,left,imu,30.25
1783368011.1,15.3,left,0,22.51
1783368011.1,15.3,left,1,24.86
1783368011.1,15.3,left,2,25.47
1783368011.1,15.3,left,3,26.75
1783368011.1,15.3,left,4,30.68
1783368011.1,15.3,left,5,24.96
1783368011.1,15.3,left,6,60.89
1783368011.1,15.3,left,7,24.94
1783368011.1,15.3,right,imu,30.58
1783368011.1,15.3,right,0,23.11
1783368011.1,15.3,right,1,24.79
1783368011.1,15.3,right,2,62.30
1783368011.1,15.3,right,3,26.25
1783368011.1,15.3,right,4,27.13
1783368011.1,15.3,right,5,37.35
1783368011.1,15.3,right,6,10.09
1783368011.1,15.3,right,7,25.94
1783368016.1,20.3,left,imu,30.68
1783368016.1,20.3,left,0,22.36
1783368016.1,20.3,left,1,25.32
1783368016.1,20.3,left,2,25.93
1783368016.1,20.3,left,3,26.89
1783368016.1,20.3,left,4,30.99
1783368016.1,20.3,left,5,26.80
1783368016.1,20.3,left,6,61.12
1783368016.1,20.3,left,7,25.62
1783368016.1,20.3,right,imu,30.68
1783368016.1,20.3,right,0,23.03
1783368016.1,20.3,right,1,24.55
1783368016.1,20.3,right,2,62.45
1783368016.1,20.3,right,3,28.61
1783368016.1,20.3,right,4,28.19
1783368016.1,20.3,right,5,37.20
1783368016.1,20.3,right,6,14.19
1783368016.1,20.3,right,7,26.09
1783368021.2,25.4,left,imu,30.39
1783368021.2,25.4,left,0,22.28
1783368021.2,25.4,left,1,25.17
1783368021.2,25.4,left,2,25.70
1783368021.2,25.4,left,3,26.89
1783368021.2,25.4,left,4,31.15
1783368021.2,25.4,left,5,24.19
1783368021.2,25.4,left,6,61.20
1783368021.2,25.4,left,7,25.24
1783368021.2,25.4,right,imu,30.39
1783368021.2,25.4,right,0,23.26
1783368021.2,25.4,right,1,24.48
1783368021.2,25.4,right,2,62.61
1783368021.2,25.4,right,3,26.17
1783368021.2,25.4,right,4,25.32
1783368021.2,25.4,right,5,38.11
1783368021.2,25.4,right,6,50.52
1783368021.2,25.4,right,7,26.02
1783368026.3,30.5,left,imu,30.25
1783368026.3,30.5,left,0,22.28
1783368026.3,30.5,left,1,25.09
1783368026.3,30.5,left,2,26.91
1783368026.3,30.5,left,3,26.75
