t_wall_s,elapsed_s,side,cam,temp_c
1783371127.3,81.4,left,imu,31.40
1783371127.3,81.4,left,0,36.43
1783371127.3,81.4,left,1,40.60
1783371127.3,81.4,left,2,42.27
1783371127.3,81.4,left,3,43.60
1783371127.3,81.4,left,4,43.77
1783371127.3,81.4,left,5,43.23
1783371127.3,81.4,left,6,45.81
1783371127.3,81.4,left,7,41.89
1783371127.3,81.4,right,imu,30.78
1783371127.3,81.4,right,0,37.96
1783371127.3,81.4,right,1,40.31
1783371127.3,81.4,right,2,43.07
1783371127.3,81.4,right,3,43.27
1783371127.3,81.4,right,4,42.43
1783371127.3,81.4,right,5,42.20
1783371127.3,81.4,right,6,43.98
1783371127.3,81.4,right,7,41.00
1783371328.7,282.7,left,imu,31.54
1783371328.7,282.7,left,0,36.20
1783371328.7,282.7,left,1,40.98
1783371328.7,282.7,left,2,42.20
1783371328.7,282.7,left,3,43.90
1783371328.7,282.7,left,4,43.77
1783371328.7,282.7,left,5,43.31
1783371328.7,282.7,left,6,45.96
1783371328.7,282.7,left,7,42.12
1783371328.7,282.7,right,imu,30.92
1783371328.7,282.7,right,0,37.73
1783371328.7,282.7,right,1,40.31
1783371328.7,282.7,right,2,42.92
1783371328.7,282.7,right,3,43.57
1783371328.7,282.7,right,4,42.05
1783371328.7,282.7,right,5,42.35
1783371328.7,282.7,right,6,43.91
1783371328.7,282.7,right,7,41.45
1783371530.0,484.1,left,imu,31.78
1783371530.0,484.1,left,0,36.35
1783371530.0,484.1,left,1,40.60
1783371530.0,484.1,left,2,42.12
1783371530.0,484.1,left,3,43.98
1783371530.0,484.1,left,4,43.39
1783371530.0,484.1,left,5,43.54
1783371530.0,484.1,left,6,45.96
1783371530.0,484.1,left,7,42.35
1783371530.0,484.1,right,imu,30.87
1783371530.0,484.1,right,0,37.88
1783371530.0,484.1,right,1,40.39
1783371530.0,484.1,right,2,42.92
1783371530.0,484.1,right,3,43.72
1783371530.0,484.1,right,4,42.35
1783371530.0,484.1,right,5,42.35
1783371530.0,484.1,right,6,43.98
1783371530.0,484.1,right,7,41.60
1783371731.4,685.4,left,imu,31.64
1783371731.4,685.4,left,0,36.43
1783371731.4,685.4,left,1,40.83
1783371731.4,685.4,left,2,42.05
1783371731.4,685.4,left,3,43.68
1783371731.4,685.4,left,4,44.16
1783371731.4,685.4,left,5,43.54
1783371731.4,685.4,left,6,46.04
1783371731.4,685.4,left,7,42.43
1783371731.4,685.4,right,imu,30.92
1783371731.4,685.4,right,0,38.11
1783371731.4,685.4,right,1,40.85
1783371731.4,685.4,right,2,42.84
1783371731.4,685.4,right,3,43.64
1783371731.4,685.4,right,4,42.43
1783371731.4,685.4,right,5,42.50
1783371731.4,685.4,right,6,44.52
1783371731.4,685.4,right,7,41.60
1783371932.7,886.7,left,imu,31.83
1783371932.7,886.7,left,0,36.66
1783371932.7,886.7,left,1,40.75
1783371932.7,886.7,left,2,42.35
1783371932.7,886.7,left,3,43.75
1783371932.7,886.7,left,4,44.08
1783371932.7,886.7,left,5,43.54
1783371932.7,886.7,left,6,46.12
1783371932.7,886.7,left,7,42.73
1783371932.7,886.7,right,imu,30.87
1783371932.7,886.7,right,0,38.26
1783371932.7,886.7,right,1,40.70
1783371932.7,886.7,right,2,43.00
1783371932.7,886.7,right,3,43.57
1783371932.7,886.7,right,4,42.50
1783371932.7,886.7,right,5,42.58
1783371932.7,886.7,right,6,44.06
1783371932.7,886.7,right,7,41.45
1783372134.1,1088.1,left,imu,31.78
1783372134.1,1088.1,left,0,36.58
1783372134.1,1088.1,left,1,40.83
1783372134.1,1088.1,left,2,42.27
1783372134.1,1088.1,left,3,43.98
1783372134.1,1088.1,left,4,44.00
1783372134.1,1088.1,left,5,43.69
1783372134.1,1088.1,left,6,45.74
1783372134.1,1088.1,left,7,42.65
1783372134.1,1088.1,right,imu,30.73
1783372134.1,1088.1,right,0,38.03
1783372134.1,1088.1,right,1,40.16
1783372134.1,1088.1,right,2,43.00
1783372134.1,1088.1,right,3,43.72
1783372134.1,1088.1,right,4,42.50
1783372134.1,1088.1,right,5,42.58
1783372134.1,1088.1,right,6,44.21
1783372134.1,1088.1,right,7,41.52
1783372335.4,1289.4,left,imu,31.83
1783372335.4,1289.4,left,0,36.27
1783372335.4,1289.4,left,1,40.91
1783372335.4,1289.4,left,2,42.43
1783372335.4,1289.4,left,3,43.75
1783372335.4,1289.4,left,4,44.16
1783372335.4,1289.4,left,5,43.54
1783372335.4,1289.4,left,6,45.96
1783372335.4,1289.4,left,7,42.58
1783372335.4,1289.4,right,imu,30.92
1783372335.4,1289.4,right,0,37.65
1783372335.4,1289.4,right,1,40.70
1783372335.4,1289.4,right,2,43.15
1783372335.4,1289.4,right,3,43.80
1783372335.4,1289.4,right,4,42.20
1783372335.4,1289.4,right,5,42.35
1783372335.4,1289.4,right,6,44.29
1783372335.4,1289.4,right,7,41.82
1783372536.8,1490.8,left,imu,32.07
1783372536.8,1490.8,left,0,36.35
1783372536.8,1490.8,left,1,40.83
1783372536.8,1490.8,left,2,42.35
1783372536.8,1490.8,left,3,44.13
1783372536.8,1490.8,left,4,44.08
1783372536.8,1490.8,left,5,43.46
1783372536.8,1490.8,left,6,45.96
1783372536.8,1490.8,left,7,42.43
1783372536.8,1490.8,right,imu,30.73
1783372536.8,1490.8,right,0,37.80
1783372536.8,1490.8,right,1,40.46
1783372536.8,1490.8,right,2,43.15
1783372536.8,1490.8,right,3,43.42
1783372536.8,1490.8,right,4,42.20
1783372536.8,1490.8,right,5,42.43
1783372536.8,1490.8,right,6,44.29
1783372536.8,1490.8,right,7,41.38
1783372738.1,1692.1,left,imu,31.97
1783372738.1,1692.1,left,0,36.58
1783372738.1,1692.1,left,1,40.91
1783372738.1,1692.1,left,2,42.35
1783372738.1,1692.1,left,3,44.05
1783372738.1,1692.1,left,4,44.00
1783372738.1,1692.1,left,5,43.54
1783372738.1,1692.1,left,6,45.96
1783372738.1,1692.1,left,7,42.58
1783372738.1,1692.1,right,imu,30.92
1783372738.1,1692.1,right,0,38.03
1783372738.1,1692.1,right,1,40.23
1783372738.1,1692.1,right,2,43.07
1783372738.1,1692.1,right,3,43.88
1783372738.1,1692.1,right,4,42.35
1783372738.1,1692.1,right,5,42.35
1783372738.1,1692.1,right,6,44.21
1783372738.1,1692.1,right,7,41.90
1783372939.4,1893.5,left,imu,31.78
1783372939.4,1893.5,left,0,36.35
1783372939.4,1893.5,left,1,40.83
1783372939.4,1893.5,left,2,42.43
1783372939.4,1893.5,left,3,43.90
1783372939.4,1893.5,left,4,44.08
1783372939.4,1893.5,left,5,43.69
1783372939.4,1893.5,left,6,46.20
1783372939.4,1893.5,left,7,42.95
1783372939.4,1893.5,right,imu,30.73
1783372939.4,1893.5,right,0,38.03
1783372939.4,1893.5,right,1,40.31
1783372939.4,1893.5,right,2,42.84
1783372939.4,1893.5,right,3,43.57
1783372939.4,1893.5,right,4,42.28
1783372939.4,1893.5,right,5,42.58
1783372939.4,1893.5,right,6,43.98
1783372939.4,1893.5,right,7,41.60
1783373140.8,2094.8,left,imu,31.93
1783373140.8,2094.8,left,0,36.58
1783373140.8,2094.8,left,1,40.91
1783373140.8,2094.8,left,2,42.43
1783373140.8,2094.8,left,3,43.90
1783373140.8,2094.8,left,4,44.08
1783373140.8,2094.8,left,5,43.84
1783373140.8,2094.8,left,6,46.04
1783373140.8,2094.8,left,7,42.58
1783373140.8,2094.8,right,imu,30.87
1783373140.8,2094.8,right,0,38.34
1783373140.8,2094.8,right,1,40.54
1783373140.8,2094.8,right,2,43.07
1783373140.8,2094.8,right,3,43.80
1783373140.8,2094.8,right,4,42.35
1783373140.8,2094.8,right,5,42.43
1783373140.8,2094.8,right,6,43.98
1783373140.8,2094.8,right,7,41.45
1783373342.1,2296.2,left,imu,31.97
1783373342.1,2296.2,left,0,36.35
1783373342.1,2296.2,left,1,40.68
1783373342.1,2296.2,left,2,42.58
1783373342.1,2296.2,left,3,44.20
1783373342.1,2296.2,left,4,44.31
1783373342.1,2296.2,left,5,43.23
1783373342.1,2296.2,left,6,46.20
1783373342.1,2296.2,left,7,42.65
1783373342.1,2296.2,right,imu,30.87
1783373342.1,2296.2,right,0,38.18
1783373342.1,2296.2,right,1,41.00
1783373342.1,2296.2,right,2,43.00
1783373342.1,2296.2,right,3,44.03
1783373342.1,2296.2,right,4,42.35
1783373342.1,2296.2,right,5,42.50
1783373342.1,2296.2,right,6,44.44
1783373342.1,2296.2,right,7,41.75
1783373543.5,2497.5,left,imu,31.93
1783373543.5,2497.5,left,0,36.50
1783373543.5,2497.5,left,1,40.91
1783373543.5,2497.5,left,2,42.50
1783373543.5,2497.5,left,3,44.13
1783373543.5,2497.5,left,4,43.93
1783373543.5,2497.5,left,5,43.46
1783373543.5,2497.5,left,6,45.96
1783373543.5,2497.5,left,7,42.65
1783373543.5,2497.5,right,imu,30.73
1783373543.5,2497.5,right,0,38.03
1783373543.5,2497.5,right,1,40.62
1783373543.5,2497.5,right,2,43.00
1783373543.5,2497.5,right,3,43.57
1783373543.5,2497.5,right,4,42.35
1783373543.5,2497.5,right,5,42.58
1783373543.5,2497.5,right,6,44.06
1783373543.5,2497.5,right,7,41.75
