t_wall_s,elapsed_s,side,cam,temp_c
1783375441.3,0.1,left,imu,42.85
1783375441.3,0.1,left,0,33.43
1783375441.3,0.1,left,1,42.50
1783375441.3,0.1,left,2,53.48
1783375441.3,0.1,left,3,64.08
1783375441.3,0.1,left,4,64.79
1783375441.3,0.1,left,5,66.50
1783375441.3,0.1,left,6,69.49
1783375441.3,0.1,left,7,47.19
1783375441.3,0.1,right,imu,42.47
1783375441.3,0.1,right,0,34.25
1783375441.3,0.1,right,1,40.93
1783375441.3,0.1,right,2,51.43
1783375441.3,0.1,right,3,63.26
1783375441.3,0.1,right,4,60.06
1783375441.3,0.1,right,5,62.65
1783375441.3,0.1,right,6,62.38
1783375441.3,0.1,right,7,45.51
1783375446.4,5.1,left,imu,42.47
1783375446.4,5.1,left,0,32.66
1783375446.4,5.1,left,1,40.75
1783375446.4,5.1,left,2,50.75
1783375446.4,5.1,left,3,60.98
1783375446.4,5.1,left,4,61.87
1783375446.4,5.1,left,5,63.12
1783375446.4,5.1,left,6,65.91
1783375446.4,5.1,left,7,45.45
1783375446.4,5.1,right,imu,42.13
1783375446.4,5.1,right,0,33.26
1783375446.4,5.1,right,1,39.23
1783375446.4,5.1,right,2,48.92
1783375446.4,5.1,right,3,60.05
1783375446.4,5.1,right,4,57.34
1783375446.4,5.1,right,5,59.62
1783375446.4,5.1,right,6,59.26
1783375446.4,5.1,right,7,43.71
1783375451.4,10.2,left,imu,42.37
1783375451.4,10.2,left,0,32.05
1783375451.4,10.2,left,1,39.54
1783375451.4,10.2,left,2,48.63
1783375451.4,10.2,left,3,58.34
1783375451.4,10.2,left,4,59.25
1783375451.4,10.2,left,5,60.58
1783375451.4,10.2,left,6,63.02
1783375451.4,10.2,left,7,44.09
1783375451.4,10.2,right,imu,41.99
1783375451.4,10.2,right,0,32.50
1783375451.4,10.2,right,1,37.85
1783375451.4,10.2,right,2,46.87
1783375451.4,10.2,right,3,57.31
1783375451.4,10.2,right,4,55.09
1783375451.4,10.2,right,5,57.05
1783375451.4,10.2,right,6,56.68
1783375451.4,10.2,right,7,42.43
1783375456.5,15.2,left,imu,42.09
1783375456.5,15.2,left,0,31.74
1783375456.5,15.2,left,1,38.55
1783375456.5,15.2,left,2,46.89
1783375456.5,15.2,left,3,56.07
1783375456.5,15.2,left,4,57.09
1783375456.5,15.2,left,5,58.36
1783375456.5,15.2,left,6,60.43
1783375456.5,15.2,left,7,42.95
1783375456.5,15.2,right,imu,41.56
1783375456.5,15.2,right,0,32.12
1783375456.5,15.2,right,1,36.93
1783375456.5,15.2,right,2,45.28
1783375456.5,15.2,right,3,54.94
1783375456.5,15.2,right,4,53.12
1783375456.5,15.2,right,5,54.77
1783375456.5,15.2,right,6,54.39
1783375456.5,15.2,right,7,41.30
1783375461.6,20.3,left,imu,41.85
1783375461.6,20.3,left,0,31.43
1783375461.6,20.3,left,1,37.71
1783375461.6,20.3,left,2,45.61
1783375461.6,20.3,left,3,54.18
1783375461.6,20.3,left,4,55.25
1783375461.6,20.3,left,5,56.36
1783375461.6,20.3,left,6,58.22
1783375461.6,20.3,left,7,42.05
1783375461.6,20.3,right,imu,41.22
1783375461.6,20.3,right,0,31.82
1783375461.6,20.3,right,1,36.08
1783375461.6,20.3,right,2,43.98
1783375461.6,20.3,right,3,53.04
1783375461.6,20.3,right,4,51.62
1783375461.6,20.3,right,5,52.96
1783375461.6,20.3,right,6,52.57
1783375461.6,20.3,right,7,40.47
1783375466.6,25.4,left,imu,41.46
1783375466.6,25.4,left,0,31.05
1783375466.6,25.4,left,1,37.03
1783375466.6,25.4,left,2,44.54
1783375466.6,25.4,left,3,52.52
1783375466.6,25.4,left,4,53.55
1783375466.6,25.4,left,5,54.59
1783375466.6,25.4,left,6,56.25
1783375466.6,25.4,left,7,41.29
1783375466.6,25.4,right,imu,40.89
1783375466.6,25.4,right,0,31.75
