t_wall_s,elapsed_s,side,cam,temp_c
1783381673.4,81.3,left,imu,43.33
1783381673.4,81.3,left,0,46.96
1783381673.4,81.3,left,1,54.59
1783381673.4,81.3,left,2,63.09
1783381673.4,81.3,left,3,69.75
1783381673.4,81.3,left,4,68.03
1783381673.4,81.3,left,5,67.42
1783381673.4,81.3,left,6,68.50
1783381673.4,81.3,left,7,54.76
1783381673.4,81.3,right,imu,40.07
1783381673.4,81.3,right,0,43.79
1783381673.4,81.3,right,1,48.69
1783381673.4,81.3,right,2,54.62
1783381673.4,81.3,right,3,58.98
1783381673.4,81.3,right,4,58.10
1783381673.4,81.3,right,5,56.97
1783381673.4,81.3,right,6,57.89
1783381673.4,81.3,right,7,50.18
1783381874.8,282.7,left,imu,35.81
1783381874.8,282.7,left,0,39.81
1783381874.8,282.7,left,1,44.18
1783381874.8,282.7,left,2,47.50
1783381874.8,282.7,left,3,51.16
1783381874.8,282.7,left,4,51.16
1783381874.8,282.7,left,5,50.75
1783381874.8,282.7,left,6,52.74
1783381874.8,282.7,left,7,47.50
1783381874.8,282.7,right,imu,34.08
1783381874.8,282.7,right,0,41.06
1783381874.8,282.7,right,1,44.30
1783381874.8,282.7,right,2,47.79
1783381874.8,282.7,right,3,50.21
1783381874.8,282.7,right,4,49.13
1783381874.8,282.7,right,5,48.41
1783381874.8,282.7,right,6,50.06
1783381874.8,282.7,right,7,45.74
1783382076.1,484.0,left,imu,33.41
1783382076.1,484.0,left,0,38.43
1783382076.1,484.0,left,1,43.19
1783382076.1,484.0,left,2,45.75
1783382076.1,484.0,left,3,48.29
1783382076.1,484.0,left,4,48.55
1783382076.1,484.0,left,5,47.99
1783382076.1,484.0,left,6,50.54
1783382076.1,484.0,left,7,45.53
1783382076.1,484.0,right,imu,32.50
1783382076.1,484.0,right,0,40.76
1783382076.1,484.0,right,1,42.92
1783382076.1,484.0,right,2,45.96
1783382076.1,484.0,right,3,48.07
1783382076.1,484.0,right,4,46.64
1783382076.1,484.0,right,5,46.29
1783382076.1,484.0,right,6,48.01
1783382076.1,484.0,right,7,44.31
1783382277.4,685.4,left,imu,32.88
1783382277.4,685.4,left,0,37.73
1783382277.4,685.4,left,1,42.43
1783382277.4,685.4,left,2,44.70
1783382277.4,685.4,left,3,47.23
1783382277.4,685.4,left,4,47.55
1783382277.4,685.4,left,5,46.46
1783382277.4,685.4,left,6,49.09
1783382277.4,685.4,left,7,44.47
1783382277.4,685.4,right,imu,32.12
1783382277.4,685.4,right,0,39.17
1783382277.4,685.4,right,1,41.77
1783382277.4,685.4,right,2,44.97
1783382277.4,685.4,right,3,46.47
1783382277.4,685.4,right,4,45.52
1783382277.4,685.4,right,5,45.00
1783382277.4,685.4,right,6,46.80
1783382277.4,685.4,right,7,43.78
1783382478.8,886.7,left,imu,32.79
1783382478.8,886.7,left,0,37.27
1783382478.8,886.7,left,1,42.50
1783382478.8,886.7,left,2,44.16
1783382478.8,886.7,left,3,46.62
1783382478.8,886.7,left,4,46.47
1783382478.8,886.7,left,5,46.00
1783382478.8,886.7,left,6,48.25
1783382478.8,886.7,left,7,44.16
1783382478.8,886.7,right,imu,31.78
1783382478.8,886.7,right,0,38.79
1783382478.8,886.7,right,1,41.54
1783382478.8,886.7,right,2,44.89
1783382478.8,886.7,right,3,45.78
1783382478.8,886.7,right,4,44.54
1783382478.8,886.7,right,5,44.39
1783382478.8,886.7,right,6,46.41
1783382478.8,886.7,right,7,42.58
1783382680.1,1088.1,left,imu,32.45
1783382680.1,1088.1,left,0,37.58
1783382680.1,1088.1,left,1,41.89
1783382680.1,1088.1,left,2,43.94
1783382680.1,1088.1,left,3,46.02
1783382680.1,1088.1,left,4,46.08
1783382680.1,1088.1,left,5,45.54
1783382680.1,1088.1,left,6,47.41
1783382680.1,1088.1,left,7,43.94
1783382680.1,1088.1,right,imu,31.73
1783382680.1,1088.1,right,0,39.09
1783382680.1,1088.1,right,1,41.62
1783382680.1,1088.1,right,2,44.52
1783382680.1,1088.1,right,3,45.71
1783382680.1,1088.1,right,4,44.23
1783382680.1,1088.1,right,5,44.32
1783382680.1,1088.1,right,6,45.96
1783382680.1,1088.1,right,7,42.80
1783382881.5,1289.4,left,imu,32.31
1783382881.5,1289.4,left,0,37.35
1783382881.5,1289.4,left,1,41.67
1783382881.5,1289.4,left,2,43.79
1783382881.5,1289.4,left,3,45.41
1783382881.5,1289.4,left,4,45.70
1783382881.5,1289.4,left,5,45.23
1783382881.5,1289.4,left,6,47.71
1783382881.5,1289.4,left,7,43.79
1783382881.5,1289.4,right,imu,31.64
1783382881.5,1289.4,right,0,38.79
1783382881.5,1289.4,right,1,41.46
1783382881.5,1289.4,right,2,44.21
1783382881.5,1289.4,right,3,45.10
1783382881.5,1289.4,right,4,43.78
1783382881.5,1289.4,right,5,43.87
1783382881.5,1289.4,right,6,45.88
1783382881.5,1289.4,right,7,42.50
1783383082.8,1490.8,left,imu,32.45
1783383082.8,1490.8,left,0,36.81
1783383082.8,1490.8,left,1,41.59
1783383082.8,1490.8,left,2,42.12
1783383082.8,1490.8,left,3,45.34
1783383082.8,1490.8,left,4,45.62
1783383082.8,1490.8,left,5,45.07
1783383082.8,1490.8,left,6,47.34
1783383082.8,1490.8,left,7,43.33
1783383082.8,1490.8,right,imu,31.59
1783383082.8,1490.8,right,0,38.56
1783383082.8,1490.8,right,1,41.39
1783383082.8,1490.8,right,2,44.36
1783383082.8,1490.8,right,3,45.10
1783383082.8,1490.8,right,4,43.63
1783383082.8,1490.8,right,5,43.49
1783383082.8,1490.8,right,6,45.66
1783383082.8,1490.8,right,7,42.43
1783383284.2,1692.1,left,imu,32.36
1783383284.2,1692.1,left,0,37.12
1783383284.2,1692.1,left,1,41.44
1783383284.2,1692.1,left,2,43.26
1783383284.2,1692.1,left,3,45.49
1783383284.2,1692.1,left,4,45.31
1783383284.2,1692.1,left,5,44.77
1783383284.2,1692.1,left,6,46.88
1783383284.2,1692.1,left,7,43.41
1783383284.2,1692.1,right,imu,31.30
1783383284.2,1692.1,right,0,38.18
1783383284.2,1692.1,right,1,41.08
1783383284.2,1692.1,right,2,43.91
1783383284.2,1692.1,right,3,44.87
1783383284.2,1692.1,right,4,43.71
1783383284.2,1692.1,right,5,43.49
1783383284.2,1692.1,right,6,45.20
1783383284.2,1692.1,right,7,42.12
1783383485.5,1893.5,left,imu,31.97
1783383485.5,1893.5,left,0,36.81
1783383485.5,1893.5,left,1,41.29
1783383485.5,1893.5,left,2,43.33
1783383485.5,1893.5,left,3,44.96
1783383485.5,1893.5,left,4,45.31
1783383485.5,1893.5,left,5,44.77
1783383485.5,1893.5,left,6,47.11
1783383485.5,1893.5,left,7,43.41
1783383485.5,1893.5,right,imu,31.21
1783383485.5,1893.5,right,0,37.96
1783383485.5,1893.5,right,1,41.08
1783383485.5,1893.5,right,2,43.30
1783383485.5,1893.5,right,3,44.56
1783383485.5,1893.5,right,4,43.33
1783383485.5,1893.5,right,5,42.96
1783383485.5,1893.5,right,6,45.28
1783383485.5,1893.5,right,7,42.20
1783383686.9,2094.8,left,imu,32.17
1783383686.9,2094.8,left,0,36.73
1783383686.9,2094.8,left,1,41.44
1783383686.9,2094.8,left,2,42.95
1783383686.9,2094.8,left,3,45.34
1783383686.9,2094.8,left,4,45.39
1783383686.9,2094.8,left,5,44.61
1783383686.9,2094.8,left,6,47.11
1783383686.9,2094.8,left,7,43.41
1783383686.9,2094.8,right,imu,31.26
1783383686.9,2094.8,right,0,38.41
1783383686.9,2094.8,right,1,41.08
1783383686.9,2094.8,right,2,43.61
1783383686.9,2094.8,right,3,44.56
1783383686.9,2094.8,right,4,43.11
1783383686.9,2094.8,right,5,43.18
1783383686.9,2094.8,right,6,45.05
1783383686.9,2094.8,right,7,42.05
1783383888.2,2296.2,left,imu,32.12
1783383888.2,2296.2,left,0,36.58
1783383888.2,2296.2,left,1,41.13
1783383888.2,2296.2,left,2,43.03
1783383888.2,2296.2,left,3,44.88
1783383888.2,2296.2,left,4,45.00
1783383888.2,2296.2,left,5,44.54
1783383888.2,2296.2,left,6,47.11
1783383888.2,2296.2,left,7,43.11
1783383888.2,2296.2,right,imu,31.11
1783383888.2,2296.2,right,0,38.41
1783383888.2,2296.2,right,1,40.85
1783383888.2,2296.2,right,2,43.75
1783383888.2,2296.2,right,3,44.56
1783383888.2,2296.2,right,4,43.18
1783383888.2,2296.2,right,5,43.41
1783383888.2,2296.2,right,6,44.89
1783383888.2,2296.2,right,7,42.50
1783384089.6,2497.5,left,imu,31.97
1783384089.6,2497.5,left,0,36.81
1783384089.6,2497.5,left,1,41.21
1783384089.6,2497.5,left,2,43.18
1783384089.6,2497.5,left,3,44.88
