frame_id,timestamp_s,bfi_l1,bfi_l2,bfi_l3,bfi_l4,bfi_l5,bfi_l6,bfi_l7,bfi_l8,bfi_r1,bfi_r2,bfi_r3,bfi_r4,bfi_r5,bfi_r6,bfi_r7,bfi_r8,bvi_l1,bvi_l2,bvi_l3,bvi_l4,bvi_l5,bvi_l6,bvi_l7,bvi_l8,bvi_r1,bvi_r2,bvi_r3,bvi_r4,bvi_r5,bvi_r6,bvi_r7,bvi_r8,mean_l1,mean_l2,mean_l3,mean_l4,mean_l5,mean_l6,mean_l7,mean_l8,mean_r1,mean_r2,mean_r3,mean_r4,mean_r5,mean_r6,mean_r7,mean_r8,contrast_l1,contrast_l2,contrast_l3,contrast_l4,contrast_l5,contrast_l6,contrast_l7,contrast_l8,contrast_r1,contrast_r2,contrast_r3,contrast_r4,contrast_r5,contrast_r6,contrast_r7,contrast_r8,temp_l1,temp_l2,temp_l3,temp_l4,temp_l5,temp_l6,temp_l7,temp_l8,temp_r1,temp_r2,temp_r3,temp_r4,temp_r5,temp_r6,temp_r7,temp_r8,quality_l1,quality_l2,quality_l3,quality_l4,quality_l5,quality_l6,quality_l7,quality_l8,quality_r1,quality_r2,quality_r3,quality_r4,quality_r5,quality_r6,quality_r7,quality_r8
10,0.225,4.223537344,2.579671713,1.156663313,0.076675545,0.028812621,1.407122052,2.481314899,3.325648253,3.517377564,2.611662645,1.30398343,0.540744417,0.401504014,1.372205183,3.521446517,4.659662134,5.586938942,6.001825425,6.110846334,4.966960628,5.591335379,6.792305057,7.036688492,5.794740773,5.574676495,6.713696143,6.899605487,7.149549487,6.688590548,6.671745585,6.329745839,6.370223147,123.049025405,199.488327414,174.325592351,140.34394058,109.523537069,130.90984054,139.196005516,114.281153529,142.190784222,160.555931207,145.339886738,118.58038545,109.602842573,133.556974847,158.505752563,109.167687837,0.186958899,0.246840078,0.391990282,0.488343476,0.487206198,0.386056077,0.255925741,0.218280716,0.207114473,0.244013797,0.382892467,0.477196583,0.485565452,0.37776982,0.214255791,0.173926122,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
11,0.25,4.273629438,2.622023426,1.181484849,0.099870641,0.03895869,1.416822866,2.513413603,3.36611087,3.565490394,2.663800955,1.320987396,0.563412372,0.434217471,1.392115189,3.575829788,4.700138962,5.583685192,6.00040337,6.107251907,4.970363838,5.59458693,6.790452733,7.035716396,5.78930797,5.57005363,6.712516455,6.898907865,7.143599942,6.688816427,6.670266778,6.330069188,6.372278682,123.13974944,199.559280654,174.486707258,140.249043679,109.442759454,130.985436093,139.241667862,114.428794125,142.339322253,160.613566158,145.372589796,118.827889922,109.595366321,133.616316768,158.491788228,109.105866395,0.185337637,0.245431232,0.390890041,0.487202007,0.486710447,0.385620245,0.254833145,0.21695741,0.205577308,0.242291831,0.382143769,0.476053039,0.483910555,0.376898057,0.212457252,0.172607858,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
12,0.275,4.17344525,2.53732,1.131841776,0.053480449,0.018666552,1.397421239,2.449216194,3.285185637,3.469264734,2.559524335,1.286979465,0.518076462,0.368790557,1.352295177,3.467063246,4.619185305,5.590192691,6.003247481,6.114440761,4.963557418,5.588083827,6.794157381,7.037660587,5.800173576,5.57929936,6.714875832,6.90030311,7.155499031,6.68836467,6.673224392,6.32942249,6.368167611,122.95830137,199.417374174,174.164477444,140.438837481,109.604314685,130.834244988,139.15034317,114.133512933,142.042246191,160.498296257,145.30718368,118.332880979,109.610318825,133.497632925,158.519716899,109.229509279,0.188580162,0.248248924,0.393090522,0.489484946,0.487701949,0.38649191,0.257018337,0.219604022,0.208651639,0.245735764,0.383641165,0.478340127,0.487220349,0.378641584,0.21605433,0.175244387,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
13,0.3,4.082931439,2.405781704,0.982061095,-0.078627102,-0.099861398,1.248510002,2.290569761,3.12212532,3.308907179,2.392722684,1.13218117,0.417474985,0.26004872,1.212434789,3.361800218,4.559683328,5.57734085,5.998664473,6.111596781,4.953757742,5.58578072,6.788773575,7.037727847,5.789045249,5.570452706,6.712737783,6.897516319,7.147192975,6.691785865,6.67124179,6.321512897,6.359983044,123.316648222,199.646042645,174.29195466,140.712096858,109.661530316,131.053964528,139.147183762,114.435933767,142.326499474,160.602752918,145.437822487,118.67841769,109.497082241,133.577191271,158.861305237,109.475664981,0.191509699,0.252624596,0.39972971,0.495986181,0.493493391,0.393182112,0.262418444,0.224936813,0.213774931,0.251244703,0.390457056,0.483415228,0.492721344,0.384765401,0.219535541,0.17718227,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
14,0.325,4.142185741,2.524749076,1.1273735,0.059138632,0.05761229,1.369929451,2.417400898,3.225174823,3.395300312,2.489571795,1.247493812,0.52232711,0.401131126,1.324270917,3.435266863,4.61891709,5.623287751,6.043079771,6.151014481,5.023013987,5.632248041,6.823462272,7.070402628,5.835934053,5.611456276,6.742550191,6.928474859,7.178944353,6.7274603,6.703159297,6.354084159,6.391483232,122.035514483,197.429947932,172.52511425,138.78091898,108.507152319,129.638277573,137.612347107,113.161694444,141.009007152,159.146235458,143.986552114,117.357542048,108.316310256,132.296398053,157.454663595,108.528278202,0.189591896,0.2486671,0.393288584,0.489206497,0.485799005,0.387727046,0.258101286,0.22156664,0.211014742,0.248046078,0.385379749,0.478125692,0.485584316,0.379868632,0.217105885,0.175253122,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
15,0.35,4.054979103,2.421061252,1.048919128,-0.011679467,-0.002543739,1.270837912,2.313339061,3.135283384,3.331495988,2.408936251,1.170825766,0.480965724,0.347705005,1.2692083,3.3794149,4.580922754,5.632162085,6.050620649,6.164037439,5.023877311,5.646679192,6.829249474,7.076542463,5.846316782,5.617302739,6.7534984,6.936984903,7.175779264,6.737201032,6.71254619,6.358285044,6.395896621,121.78807215,197.05369697,171.941379308,138.756845594,108.148642241,129.402095014,137.323939896,112.879535811,140.821153502,158.611348857,143.587619388,117.489211571,107.993906192,131.919718605,157.273241679,108.395542913,0.192414394,0.252116316,0.396766157,0.492691575,0.488738313,0.392178976,0.261643409,0.224506486,0.213053237,0.25070922,0.388755504,0.480212274,0.488287018,0.382279561,0.218952996,0.176490536,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
16,0.375,3.82324865,2.186319208,0.842126022,-0.156248199,-0.155321923,1.089598467,2.100835808,2.925185554,3.097720357,2.191104647,0.972849568,0.325497901,0.181169306,1.0896133,3.153396064,4.398139618,5.576003461,6.003945339,6.116499825,4.976899955,5.605543022,6.794141619,7.043102392,5.796117516,5.571452603,6.715092993,6.901979381,7.149553183,6.701870578,6.673854946,6.313418634,6.356450289,123.353938534,199.38255465,174.072182941,140.0667871,109.170579552,130.834888284,138.89472458,114.243739482,142.294371629,160.487686622,145.228603653,118.580231681,109.163292899,133.472329929,159.210868835,109.581914679,0.199914498,0.2599251,0.405932481,0.499806045,0.49620327,0.400321602,0.268876728,0.231377611,0.220522177,0.25790352,0.397472552,0.48805525,0.496711669,0.390143166,0.226427789,0.182443486,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
17,0.4,3.939242985,2.291049836,0.953106956,-0.079194317,-0.075402545,1.232133854,2.303978162,3.110748684,3.460862638,2.53752294,1.250665802,0.512114701,0.356100597,1.335511397,3.359559835,4.553998665,5.563618967,5.991382293,6.110905258,4.957842523,5.577968696,6.788009289,7.035735344,5.790300276,5.559640731,6.706271271,6.894745597,7.146574058,6.69304963,6.666585337,6.300792187,6.341804139,123.69925438,200.009385963,174.322951173,140.598194671,109.8556028,131.08515592,139.240777818,114.40182743,142.673900791,160.918681369,145.567708036,118.704164999,109.455253459,133.764046477,159.756162008,110.022406318,0.196160268,0.256441195,0.401013133,0.496014094,0.492298297,0.393917851,0.261962041,0.225308879,0.208920079,0.246462401,0.385240084,0.478640883,0.487862305,0.379376466,0.219609634,0.17736741,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
18,0.425,4.981616837,3.050894633,1.29900457,0.000197032,0.063062741,1.405298934,2.657011484,3.529210384,3.489251689,2.533161762,1.21793632,0.45709354,0.318321851,1.28128991,3.286772155,4.795590313,5.570345364,5.989327796,6.108066044,4.958526361,5.582659028,6.784327418,7.032925164,5.785585794,5.560086737,6.703928965,6.89641231,7.141385373,6.691653261,6.668273675,6.299067149,6.339109076,123.511702794,200.111894766,174.450214767,140.579126168,109.739081859,131.235417452,139.372780763,114.529947116,142.65957009,161.033117278,145.489576091,118.920017262,109.501471221,133.696296472,159.830660502,110.103461922,0.162423173,0.231164666,0.385680854,0.492107113,0.485532689,0.386137986,0.24994527,0.211623337,0.208013072,0.246606437,0.386681189,0.481416568,0.489773443,0.381750565,0.222016835,0.169499163,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
19,0.45,5.574021398,3.862385444,1.742637294,0.24909441,0.309624191,1.675198279,2.959524776,3.90613597,3.905488297,2.837239212,1.512844264,0.635007807,0.501902228,1.861828061,4.721766006,5.774052333,5.609133206,6.019819771,6.132480789,4.993499685,5.611268693,6.801078494,7.049111026,5.809139278,5.581207584,6.716401301,6.911911509,7.158846507,6.70208597,6.684620677,6.328185744,6.368357146,122.430184534,198.590502202,173.355859708,139.603911424,109.028337895,130.551786161,138.612480241,113.889863067,141.980932749,160.423767787,144.763006646,118.193624041,109.156163714,133.04032015,158.573127747,109.223808908,0.143249621,0.204170111,0.366016363,0.479858454,0.473485351,0.374012097,0.239648132,0.199296209,0.194714654,0.236563705,0.37369616,0.472441223,0.480486541,0.356331579,0.174559368,0.137632245,,,,,,,,,,,,,,,,,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
